URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Cơm Đuôi Lươn,229000,,Cơm lươn
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Cơm Lươn Đặc Biệt 1,339000,,Cơm lươn
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Cơm Lươn Đặc Biệt 2,439000,,Cơm lươn
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Cơm Lươn & Gà Chiên,199000,,Cơm lươn
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Cơm Lươn & Sashimi Bơ Cá Hồi,349000,,Cơm hải sản
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Cơm Lươn Tam Vị,299000,,Cơm hải sản
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Cơm Hải Sản Sốt Yukke,199000,,Cơm hải sản
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Cơm Cá Hồi,199000,,Cơm Nhật
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Cơm Cá Hồi 3 Loại,249000,,Cơm Nhật
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Cơm Oyako Cá Hồi & Trứng Cá Hồi,399000,,Cơm Nhật
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Mì Udon Thịt Bò,99000,,Mì Udon
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Mì Udon Tempura (Nóng),99000,,Mì Udon
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Mì Udon Tempura (Lạnh),99000,,Mì Udon
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Mì Udon Lạnh,69000,,Mì Udon
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Mì Ramen Nước Dùng Nghêu,120000,,Ramen
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Mì Ramen Xương Hầm Tonkotsu,120000,,Ramen
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Gà Chiên Karaage,89000,,Đồ chiên
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Gà Chiên Tare Đặc Biệt,89000,,Đồ chiên
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Bạch Tuộc Chiên,89000,,Đồ chiên
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Sun Gà Chiên,59000,,Đồ chiên
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Mực Chiên,89000,,Đồ chiên
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,,Khoai Tây Chiên,59000,,Đồ chiên
